#{"t_start": 1616761110.7713695, "env_id": "CartPole-v1"}
r,l,t
12.0,12,3.39492
35.0,35,3.397363
12.0,12,3.398247
27.0,27,3.40009
18.0,18,3.401798
39.0,39,3.40481
23.0,23,3.406435
10.0,10,3.407174
18.0,18,3.408601
34.0,34,3.410921
14.0,14,3.411929
16.0,16,3.413057
15.0,15,3.414251
12.0,12,3.415134
14.0,14,3.420724
28.0,28,3.423664
17.0,17,3.425661
14.0,14,3.427118
11.0,11,3.428245
22.0,22,3.430308
19.0,19,3.432256
32.0,32,3.435289
33.0,33,3.438561
15.0,15,3.439659
53.0,53,3.443374
17.0,17,3.444588
11.0,11,3.4454
24.0,24,3.447043
14.0,14,3.448183
26.0,26,3.449974
13.0,13,3.451103
28.0,28,3.453565
21.0,21,3.455631
12.0,12,3.456745
12.0,12,3.457954
20.0,20,3.45974
31.0,31,3.462828
17.0,17,3.464016
29.0,29,3.46668
42.0,42,3.469731
26.0,26,3.471803
34.0,34,3.474137
25.0,25,3.475857
36.0,36,3.478372
23.0,23,3.480088
12.0,12,3.480957
19.0,19,3.482375
26.0,26,3.484155
41.0,41,3.486836
14.0,14,3.487774
12.0,12,3.488616
13.0,13,3.489486
19.0,19,3.490828
27.0,27,3.492548
12.0,12,3.493365
12.0,12,3.494167
31.0,31,3.496281
27.0,27,3.498042
12.0,12,3.498838
19.0,19,3.503659
25.0,25,3.505588
16.0,16,3.506731
16.0,16,3.50789
16.0,16,3.509052
17.0,17,3.510277
45.0,45,3.513092
13.0,13,3.513962
23.0,23,3.515428
39.0,39,3.518142
11.0,11,3.519159
13.0,13,3.520418
15.0,15,3.521887
15.0,15,3.523504
20.0,20,3.525441
60.0,60,3.530529
17.0,17,3.531751
13.0,13,3.532834
21.0,21,3.534184
17.0,17,3.535288
16.0,16,3.536344
21.0,21,3.537823
18.0,18,3.538985
15.0,15,3.539986
19.0,19,3.541219
12.0,12,3.542127
48.0,48,3.54513
10.0,10,3.545813
10.0,10,3.546489
11.0,11,3.547335
14.0,14,3.548259
35.0,35,3.550481
24.0,24,3.552019
40.0,40,3.554647
23.0,23,3.556118
27.0,27,3.557838
12.0,12,3.558644
27.0,27,3.560463
17.0,17,3.561612
28.0,28,3.563386
27.0,27,3.565127
13.0,13,3.566131
15.0,15,3.567159
12.0,12,3.567965
29.0,29,3.569809
10.0,10,3.5706
51.0,51,3.573777
13.0,13,3.579895
12.0,12,3.581024
11.0,11,3.582188
33.0,33,3.584643
11.0,11,3.585634
46.0,46,3.589368
24.0,24,3.591826
22.0,22,3.593471
11.0,11,3.594559
23.0,23,3.596732
11.0,11,3.598001
17.0,17,3.599622
19.0,19,3.601422
23.0,23,3.603535
35.0,35,3.606576
24.0,24,3.608784
14.0,14,3.610143
21.0,21,3.611619
19.0,19,3.613091
22.0,22,3.614616
11.0,11,3.615412
20.0,20,3.616858
27.0,27,3.618829
16.0,16,3.620277
40.0,40,3.624075
10.0,10,3.62517
32.0,32,3.628419
15.0,15,3.629761
31.0,31,3.632117
22.0,22,3.63367
20.0,20,3.635217
13.0,13,3.636159
19.0,19,3.637527
35.0,35,3.639933
31.0,31,3.642096
21.0,21,3.643913
17.0,17,3.645433
74.0,74,3.651097
20.0,20,3.652663
16.0,16,3.653721
40.0,40,3.656691
12.0,12,3.657516
34.0,34,3.659804
19.0,19,3.664986
10.0,10,3.665774
46.0,46,3.668777
17.0,17,3.670057
10.0,10,3.670776
27.0,27,3.672498
18.0,18,3.673693
63.0,63,3.677816
14.0,14,3.678755
37.0,37,3.681094
13.0,13,3.681971
11.0,11,3.682827
15.0,15,3.683826
13.0,13,3.684705
15.0,15,3.685702
44.0,44,3.688589
16.0,16,3.689661
19.0,19,3.690963
22.0,22,3.692391
28.0,28,3.69433
19.0,19,3.695577
23.0,23,3.697107
28.0,28,3.698912
32.0,32,3.701101
18.0,18,3.702287
19.0,19,3.703552
21.0,21,3.704926
43.0,43,3.707763
11.0,11,3.708513
18.0,18,3.709787
19.0,19,3.711123
12.0,12,3.712109
23.0,23,3.713713
15.0,15,3.714786
13.0,13,3.715715
31.0,31,3.717999
16.0,16,3.719131
12.0,12,3.720219
30.0,30,3.723048
15.0,15,3.724709
13.0,13,3.726002
26.0,26,3.728499
18.0,18,3.730204
14.0,14,3.731299
19.0,19,3.732531
15.0,15,3.733535
13.0,13,3.734414
17.0,17,3.735637
11.0,11,3.739858
14.0,14,3.74085
12.0,12,3.74167
26.0,26,3.74346
25.0,25,3.745081
9.0,9,3.745711
42.0,42,3.748362
10.0,10,3.749191
22.0,22,3.750658
27.0,27,3.752394
29.0,29,3.754307
9.0,9,3.755056
16.0,16,3.756113
11.0,11,3.756888
21.0,21,3.75826
15.0,15,3.759353
13.0,13,3.760225
33.0,33,3.762459
41.0,41,3.765254
12.0,12,3.76629
11.0,11,3.767127
14.0,14,3.768346
36.0,36,3.771048
23.0,23,3.773041
18.0,18,3.774483
27.0,27,3.776368
16.0,16,3.777663
36.0,36,3.780775
16.0,16,3.782225
11.0,11,3.783108
17.0,17,3.784495
16.0,16,3.786027
12.0,12,3.787223
21.0,21,3.788883
18.0,18,3.790459
10.0,10,3.79163
13.0,13,3.792888
12.0,12,3.79406
15.0,15,3.795501
25.0,25,3.79793
35.0,35,3.801007
16.0,16,3.802211
15.0,15,3.803579
40.0,40,3.807448
39.0,39,3.811011
24.0,24,3.813198
28.0,28,3.815489
21.0,21,3.817407
18.0,18,3.818675
28.0,28,3.826177
21.0,21,3.828263
11.0,11,3.829362
27.0,27,3.831366
25.0,25,3.833172
19.0,19,3.834565
25.0,25,3.836808
22.0,22,3.83851
42.0,42,3.841345
19.0,19,3.842584
26.0,26,3.84441
40.0,40,3.846965
18.0,18,3.84814
13.0,13,3.849011
12.0,12,3.849935
11.0,11,3.850721
21.0,21,3.852061
21.0,21,3.853794
19.0,19,3.855321
29.0,29,3.857394
37.0,37,3.859921
20.0,20,3.861327
20.0,20,3.862846
14.0,14,3.863855
25.0,25,3.865626
22.0,22,3.867275
10.0,10,3.868302
10.0,10,3.869058
56.0,56,3.873391
10.0,10,3.874163
115.0,115,3.882066
18.0,18,3.883331
13.0,13,3.884259
10.0,10,3.885003
16.0,16,3.886285
16.0,16,3.887403
14.0,14,3.888382
17.0,17,3.889561
30.0,30,3.891698
33.0,33,3.893944
16.0,16,3.89511
26.0,26,3.896925
12.0,12,3.901664
25.0,25,3.90351
37.0,37,3.906073
34.0,34,3.908371
20.0,20,3.909903
12.0,12,3.910812
28.0,28,3.912801
34.0,34,3.915122
11.0,11,3.916069
17.0,17,3.917293
19.0,19,3.918632
10.0,10,3.919476
35.0,35,3.922701
36.0,36,3.926123
13.0,13,3.92741
35.0,35,3.930753
39.0,39,3.933652
24.0,24,3.935205
11.0,11,3.935982
13.0,13,3.93695
33.0,33,3.93931
17.0,17,3.940487
28.0,28,3.942267
56.0,56,3.945769
13.0,13,3.946748
28.0,28,3.948805
12.0,12,3.949773
21.0,21,3.95113
11.0,11,3.952016
13.0,13,3.952935
36.0,36,3.955224
18.0,18,3.956408
18.0,18,3.9577
23.0,23,3.959167
14.0,14,3.960087
16.0,16,3.961195
13.0,13,3.962457
19.0,19,3.964141
17.0,17,3.965324
17.0,17,3.966951
31.0,31,3.970006
14.0,14,3.97117
41.0,41,3.973736
62.0,62,3.983518
18.0,18,3.98538
15.0,15,3.986774
21.0,21,3.988728
15.0,15,3.990145
20.0,20,3.992097
12.0,12,3.993038
41.0,41,3.9965
14.0,14,3.997866
22.0,22,4.000116
20.0,20,4.002041
24.0,24,4.00391
17.0,17,4.005191
28.0,28,4.007948
12.0,12,4.009138
32.0,32,4.012104
21.0,21,4.014106
15.0,15,4.01557
15.0,15,4.016717
20.0,20,4.018537
15.0,15,4.0199
14.0,14,4.021369
14.0,14,4.022693
39.0,39,4.026154
11.0,11,4.027176
18.0,18,4.028749
15.0,15,4.029835
16.0,16,4.030994
27.0,27,4.03301
12.0,12,4.034023
21.0,21,4.035476
12.0,12,4.036356
26.0,26,4.038206
15.0,15,4.039447
20.0,20,4.040857
24.0,24,4.042496
22.0,22,4.044021
15.0,15,4.045232
41.0,41,4.048018
36.0,36,4.050482
15.0,15,4.051617
17.0,17,4.05297
13.0,13,4.05396
16.0,16,4.055128
17.0,17,4.056346
35.0,35,4.058954
15.0,15,4.060326
17.0,17,4.061949
17.0,17,4.063425
32.0,32,4.070207
10.0,10,4.071015
11.0,11,4.071949
43.0,43,4.075999
17.0,17,4.077857
21.0,21,4.079683
20.0,20,4.081086
28.0,28,4.082888
27.0,27,4.084747
18.0,18,4.085937
33.0,33,4.088445
30.0,30,4.090396
22.0,22,4.091951
18.0,18,4.093152
12.0,12,4.093966
24.0,24,4.095505
44.0,44,4.09838
9.0,9,4.099009
28.0,28,4.10081
15.0,15,4.101803
37.0,37,4.104234
9.0,9,4.10486
17.0,17,4.106026
18.0,18,4.107207
19.0,19,4.108564
28.0,28,4.110358
14.0,14,4.111299
18.0,18,4.112465
23.0,23,4.114062
21.0,21,4.115432
26.0,26,4.117166
40.0,40,4.119686
82.0,82,4.124986
22.0,22,4.12642
36.0,36,4.128922
14.0,14,4.129931
20.0,20,4.131449
44.0,44,4.134434
16.0,16,4.135623
13.0,13,4.136635
20.0,20,4.138189
9.0,9,4.138863
17.0,17,4.143967
28.0,28,4.145935
10.0,10,4.14682
32.0,32,4.149062
32.0,32,4.151283
41.0,41,4.154085
16.0,16,4.155372
16.0,16,4.156501
11.0,11,4.157316
20.0,20,4.158729
33.0,33,4.161135
20.0,20,4.162529
22.0,22,4.16406
23.0,23,4.165644
14.0,14,4.16701
15.0,15,4.16807
13.0,13,4.169388
11.0,11,4.170222
9.0,9,4.171109
38.0,38,4.174112
20.0,20,4.175965
19.0,19,4.177742
15.0,15,4.179293
23.0,23,4.181267
21.0,21,4.183208
28.0,28,4.185862
24.0,24,4.188291
10.0,10,4.189325
62.0,62,4.193651
10.0,10,4.194409
25.0,25,4.196272
55.0,55,4.199967
52.0,52,4.203484
23.0,23,4.205132
12.0,12,4.206175
13.0,13,4.207116
18.0,18,4.208869
50.0,50,4.213043
21.0,21,4.214917
27.0,27,4.216859
10.0,10,4.217601
8.0,8,4.218204
23.0,23,4.219984
14.0,14,4.221287
13.0,13,4.226735
29.0,29,4.228673
13.0,13,4.22997
15.0,15,4.231276
13.0,13,4.232473
15.0,15,4.233679
9.0,9,4.234526
15.0,15,4.235701
13.0,13,4.236775
27.0,27,4.238645
11.0,11,4.239647
18.0,18,4.24121
26.0,26,4.243236
22.0,22,4.245064
32.0,32,4.24778
50.0,50,4.251415
18.0,18,4.252938
25.0,25,4.255036
51.0,51,4.25847
18.0,18,4.259733
17.0,17,4.260964
39.0,39,4.263601
32.0,32,4.265995
21.0,21,4.267471
31.0,31,4.269626
15.0,15,4.270705
17.0,17,4.272062
12.0,12,4.272975
16.0,16,4.274102
26.0,26,4.275875
14.0,14,4.277004
18.0,18,4.278298
16.0,16,4.279431
15.0,15,4.280521
25.0,25,4.282373
18.0,18,4.283661
30.0,30,4.285638
27.0,27,4.287503
23.0,23,4.289243
20.0,20,4.290675
47.0,47,4.293818
18.0,18,4.295071
18.0,18,4.296445
14.0,14,4.29745
13.0,13,4.298388
18.0,18,4.299647
18.0,18,4.304879
53.0,53,4.308498
16.0,16,4.310381
14.0,14,4.312272
36.0,36,4.315294
14.0,14,4.31632
15.0,15,4.317406
15.0,15,4.318477
20.0,20,4.320018
14.0,14,4.32105
19.0,19,4.322396
15.0,15,4.323468
13.0,13,4.32452
35.0,35,4.326916
17.0,17,4.328124
12.0,12,4.329007
14.0,14,4.330144
19.0,19,4.331537
20.0,20,4.332957
19.0,19,4.334298
49.0,49,4.337749
9.0,9,4.338428
46.0,46,4.341555
15.0,15,4.342633
22.0,22,4.344301
47.0,47,4.347539
30.0,30,4.349663
12.0,12,4.350533
19.0,19,4.35199
16.0,16,4.353129
29.0,29,4.354983
26.0,26,4.356634
22.0,22,4.358163
22.0,22,4.359569
26.0,26,4.36124
12.0,12,4.362042
15.0,15,4.363129
28.0,28,4.364918
15.0,15,4.36591
15.0,15,4.366894
23.0,23,4.368471
22.0,22,4.369894
45.0,45,4.372863
24.0,24,4.374654
43.0,43,4.381678
10.0,10,4.382504
36.0,36,4.385805
12.0,12,4.38701
14.0,14,4.388484
24.0,24,4.390589
18.0,18,4.392334
19.0,19,4.394077
42.0,42,4.398057
12.0,12,4.399233
16.0,16,4.400768
10.0,10,4.40173
16.0,16,4.403076
10.0,10,4.40401
28.0,28,4.406556
31.0,31,4.409321
14.0,14,4.410626
27.0,27,4.412485
11.0,11,4.413253
23.0,23,4.414721
19.0,19,4.416071
12.0,12,4.41688
16.0,16,4.417926
13.0,13,4.418789
19.0,19,4.420128
50.0,50,4.42328
70.0,70,4.427648
17.0,17,4.42883
12.0,12,4.429774
25.0,25,4.431375
12.0,12,4.432181
21.0,21,4.433561
12.0,12,4.434478
12.0,12,4.435287
30.0,30,4.437217
46.0,46,4.440127
22.0,22,4.441673
29.0,29,4.443528
47.0,47,4.446509
24.0,24,4.448057
12.0,12,4.448997
31.0,31,4.451062
16.0,16,4.452276
26.0,26,4.454514
16.0,16,4.459428
16.0,16,4.460658
24.0,24,4.462236
27.0,27,4.464023
21.0,21,4.46557
12.0,12,4.46638
18.0,18,4.467572
28.0,28,4.46945
10.0,10,4.470546
12.0,12,4.471487
12.0,12,4.472355
20.0,20,4.473681
20.0,20,4.475132
14.0,14,4.476068
13.0,13,4.476942
18.0,18,4.478097
27.0,27,4.479938
29.0,29,4.482228
11.0,11,4.48332
13.0,13,4.48461
20.0,20,4.486592
15.0,15,4.487994
20.0,20,4.489391
16.0,16,4.490445
34.0,34,4.492794
10.0,10,4.493534
34.0,34,4.496043
14.0,14,4.497377
28.0,28,4.499846
33.0,33,4.501994
42.0,42,4.504749
22.0,22,4.506202
36.0,36,4.508601
14.0,14,4.509597
23.0,23,4.511168
16.0,16,4.512283
14.0,14,4.513461
19.0,19,4.514974
26.0,26,4.516802
23.0,23,4.518381
12.0,12,4.519337
13.0,13,4.52026
14.0,14,4.521219
50.0,50,4.52435
21.0,21,4.52594
17.0,17,4.527144
48.0,48,4.530382
23.0,23,4.536024
14.0,14,4.537324
30.0,30,4.539331
44.0,44,4.542124
16.0,16,4.543189
24.0,24,4.544859
11.0,11,4.545617
34.0,34,4.548121
18.0,18,4.549379
21.0,21,4.55089
33.0,33,4.552997
23.0,23,4.554489
12.0,12,4.555299
15.0,15,4.556393
21.0,21,4.55777
13.0,13,4.558642
19.0,19,4.559879
21.0,21,4.561356
12.0,12,4.562167
18.0,18,4.563352
8.0,8,4.563916
12.0,12,4.564837
13.0,13,4.565722
10.0,10,4.566407
28.0,28,4.568191
14.0,14,4.569313
60.0,60,4.573213
17.0,17,4.574335
17.0,17,4.575454
21.0,21,4.577151
51.0,51,4.580656
13.0,13,4.581863
20.0,20,4.583703
17.0,17,4.585456
14.0,14,4.586739
11.0,11,4.587787
14.0,14,4.58911
28.0,28,4.591874
29.0,29,4.594121
